gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
OR4F5,ENSG00000186092.7,False,None,None,,,,-0.0002768068539685,,,,,None,,
OR4F29,ENSG00000284733.2,False,None,None,,,,,,,1.0,,None,,
OR4F16,ENSG00000284662.2,False,None,None,,,,,,0.978021978021978,0.984375,0.006353021978022011,None,,
SAMD11,ENSG00000187634.13,False,None,None,-0.0259810102900644,0.828493262371546,0.9186567722923108,-0.167883012496188,0.543827038109994,0.14757750139224057,0.13102564102564102,-0.016551860366599558,None,,
NOC2L,ENSG00000188976.11,False,None,None,-0.0649581980537257,0.5877392364713265,0.7819228141819483,-0.133360614344871,0.684140884250466,0.10856269113149847,0.121926017772267,0.01336332664076853,None,,
KLHL17,ENSG00000187961.15,False,None,None,-0.0550902139450699,0.6457860468080638,0.819041461049612,-0.0572155740409622,0.877247333242092,0.13786555260159514,0.13572961373390557,-0.002135938867689563,None,,
PLEKHN1,ENSG00000187583.11,False,None,None,0.2396129488650172,0.0426383523047928,0.2146528456169419,-3.74407049952288,6.82944818881199e-10,0.4000487567040468,0.39292543021032506,-0.007123326493721771,None,,
PERM1,ENSG00000187642.10,False,None,None,0.2600502426661421,0.0273779516696148,0.175416726267143,0.0252499385482255,,0.466412577417818,0.4650381679389313,-0.0013744094788866734,None,,
HES4,ENSG00000188290.11,False,None,None,-0.0228751150693814,0.8487374110227113,0.9290082354582412,-0.479042530238688,0.159826721323321,0.02885317750182615,0.026151560178306093,-0.002701617323520058,None,,
ISG15,ENSG00000187608.10,True,None,None,0.3126846187523866,0.007490891925648,0.1025392583264931,-0.397799890507462,0.218969121988961,0.030201809324982603,0.025250716332378225,-0.004951092992604378,None,,
AGRN,ENSG00000188157.15,True,None,None,0.221795993303708,0.0611431866758027,0.2543742287416449,-0.984010532605887,0.0076586909065654,0.02102803738317757,0.021652110625909753,0.0006240732427321843,PT_Altered_Hypo,0.3263473053892216,0.09350850077279753
RNF223,ENSG00000237330.3,False,None,None,0.2995398957928789,0.0105827842283134,0.117528184954231,-0.0841334746764002,,0.8957385188249897,0.8887130801687764,-0.007025438656213301,None,,
C1orf159,ENSG00000131591.18,False,None,None,-0.0362200173739691,0.7626083695089831,0.8866702497579556,-0.318007450783027,0.237669094886127,0.03691239878010306,0.02901728140314676,-0.007895117376956296,None,,
