MHB_type	Sample	PT_state	loci	nReads	nCPG	MM	PDR	CHALM	MHL	MCR	MBS	Entropy	R2
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr10_3118826_3119044	22	15	0.34054054	0.33333333	0.50000000	0.32935756	0.18378378	0.23672966	0.47091853	0.65697398
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr10_3118826_3119044	19	15	0.28888889	0.18750000	0.37500000	0.28144994	0.02962963	0.25000000	0.27031691	0.57142857
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr11_15175950_15176027	12	6	0.08695652	0.10000000	0.10000000	0.04729113	0.01449275	0.07346939	0.15779295	1.00000000
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr11_15175950_15176027	11	6	0.11111111	0.09090909	0.09090909	0.12342258	0.01234568	0.07363636	0.17139996	1.00000000
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr11_122889845_122889906	12	6	0.79710145	0.70000000	1.00000000	0.56137869	0.20289855	0.53814966	0.68151265	0.14411111
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr11_122889845_122889906	12	6	0.45070423	0.81818182	0.81818182	0.12614374	0.38028169	0.25056110	0.79957926	0.48571429
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr6_106742315_106742420	13	7	0.10389610	0.36363636	0.36363636	0.01414146	0.28571429	0.05218401	0.41725882	0.42857143
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr6_106742315_106742420	15	7	0.10000000	0.15384615	0.15384615	0.00683797	0.10000000	0.03752671	0.16264534	1.00000000
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr6_151066626_151066759	12	6	0.07462687	0.10000000	0.10000000	0.00996117	0.04477612	0.04444444	0.14936368	1.00000000
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr6_151066626_151066759	13	6	0.06896552	0.20000000	0.20000000	0.00898587	0.10344828	0.04000000	0.26191870	1.00000000
combinedAll_PT_DMR	SDKZ0034	PT-healthy	chr8_1632681_1633117	20	20	0.32203390	0.23076923	0.38461538	0.36389336	0.09322034	0.23785164	0.36341347	0.55555556
combinedAll_PT_DMR	SDKZ0034	PT-altered	chr8_1632681_1633117	25	20	0.20300752	0.06250000	0.18750000	0.06200600	0.00751880	0.16840278	0.18400776	1.00000000
combinedAll_PT_DMR	SDKZ0048	PT-healthy	chr17_64920262_64920453	22	7	0.25316456	0.30769231	0.46153846	0.08332888	0.16455696	0.23673077	0.43337086	0.41342593
combinedAll_PT_DMR	SDKZ0048	PT-altered	chr17_64920262_64920453	21	7	0.21917808	0.50000000	0.50000000	0.03708245	0.21917808	0.11516667	0.58068924	0.56944444
combinedAll_PT_DMR	SDKZ0048	PT-healthy	chr22_21710643_21710892	17	10	0.07291667	0.31250000	0.31250000	0.00260417	0.30208333	0.00887755	0.29999357	-0.02777778
combinedAll_PT_DMR	SDKZ0048	PT-altered	chr22_21710643_21710892	13	10	0.13513514	0.50000000	0.50000000	0.00599722	0.36486486	0.02554847	0.41059272	0.25000000
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr10_47599638_47599747	12	5	0.07042254	0.10000000	0.10000000	0.02219185	0.02816901	0.05102041	0.16408627	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr10_47599638_47599747	11	5	0.04838710	0.20000000	0.20000000	0.00107527	0.17741935	0.00711806	0.35149960	0.32132228
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr10_59703726_59704016	27	16	0.06451613	0.27777778	0.27777778	0.00189188	0.17741935	0.01293896	0.32017813	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr10_59703726_59704016	19	16	0.41052632	0.53333333	0.66666667	0.35407958	0.27368421	0.24526767	0.61855919	0.42857143
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr10_96915912_96916062	20	6	0.24742268	0.35294118	0.41176471	0.07148190	0.15463918	0.17322029	0.54575085	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr10_96915912_96916062	15	6	0.17910448	0.27272727	0.36363636	0.06208414	0.20895522	0.12608534	0.47110788	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr16_74986032_74986214	12	13	0.12612613	0.25000000	0.33333333	0.05958042	0.18018018	0.09322247	0.27707254	0.65714286
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr16_74986032_74986214	11	13	0.17441860	0.27272727	0.27272727	0.00964194	0.12790698	0.03348610	0.50333772	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr17_64920262_64920453	20	7	0.12328767	0.41666667	0.41666667	0.00766779	0.26027397	0.02229167	0.37080655	-0.03121693
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr17_64920262_64920453	21	7	0.33783784	0.63636364	0.72727273	0.05356755	0.36486486	0.17368687	0.69360048	0.13063492
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr2_176139008_176139388	16	20	0.65432099	0.27272727	0.72727273	0.72740925	0.07407407	0.56664657	0.35931060	0.50462963
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr2_176139008_176139388	21	20	0.55045872	0.05555556	0.55555556	0.78065099	0.04587156	0.50617284	0.31116213	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr4_9070120_9070489	31	12	0.09166667	0.23529412	0.23529412	0.00647996	0.13333333	0.02400735	0.19293283	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr4_9070120_9070489	22	12	0.24096386	0.35714286	0.42857143	0.02967922	0.15662651	0.11744048	0.47215833	0.68148148
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr4_39366954_39367100	21	8	0.01886792	0.00000000	0.00000000	0.00094216	0.00943396	0.00000000	-0.00000000	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr4_39366954_39367100	11	8	0.04687500	0.09090909	0.09090909	0.00430612	0.04687500	0.02272727	0.15301732	1.00000000
combinedAll_PT_DMR	SDKZ0043	PT-healthy	chr7_32531597_32531788	16	8	0.24000000	0.84615385	0.84615385	0.02614411	0.53333333	0.08579060	0.72482157	-0.03298611
combinedAll_PT_DMR	SDKZ0043	PT-altered	chr7_32531597_32531788	18	8	0.34146341	0.50000000	0.64285714	0.09272557	0.28048780	0.24981090	0.55083329	0.66764298
