MHB_type	Sample	PT_state	loci	nReads	nCPG	MM	PDR	CHALM	MHL	MCR	MBS	Entropy	R2
combinedAll	SDKZ0057	PT-healthy	chr1_788827_788930	21	10	0.63207547	0.26666667	0.80000000	0.90014344	0.13207547	0.57350000	0.37149293	0.95000000
combinedAll	SDKZ0057	PT-altered	chr1_788827_788930	20	10	0.35714286	0.55555556	0.77777778	0.16691377	0.41269841	0.25196686	0.59719894	0.61451870
combinedAll	SDKZ0057	PT-healthy	chr1_791161_791414	35	9	0.51639344	0.00000000	0.50000000	0.73211757	0.02459016	0.50000000	0.24273765	0.93750000
combinedAll	SDKZ0057	PT-altered	chr1_791161_791414	38	9	0.35555556	0.04761905	0.47619048	0.49902248	0.04444444	0.43154762	0.29787528	0.88032407
combinedAll	SDKZ0057	PT-healthy	chr1_861164_861246	17	5	0.25316456	0.10000000	0.20000000	0.10317516	0.02531646	0.12653061	0.33582486	0.62202381
combinedAll	SDKZ0057	PT-altered	chr1_861164_861246	11	5	0.22950820	0.00000000	0.20000000	0.15589681	0.00000000	0.20000000	0.18387715	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_1462628_1462696	18	5	0.26956522	0.76470588	0.76470588	0.02165043	0.49565217	0.08144291	0.82767419	0.04336459
combinedAll	SDKZ0057	PT-altered	chr1_1462628_1462696	13	5	0.32323232	0.76923077	0.76923077	0.01589906	0.35353535	0.14383176	0.70486441	0.04603175
combinedAll	SDKZ0057	PT-healthy	chr1_2251089_2251189	15	8	0.02222222	0.08333333	0.08333333	0.00088889	0.05555556	0.00680272	0.14753347	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_2251089_2251189	16	8	0.02830189	0.07142857	0.07142857	0.00091862	0.02830189	0.00992063	0.09264434	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_3335414_3335470	18	9	0.10769231	0.71428571	0.71428571	0.00228272	0.60769231	0.01306565	0.45333132	0.04023346
combinedAll	SDKZ0057	PT-altered	chr1_3335414_3335470	13	9	0.09574468	0.33333333	0.33333333	0.00643953	0.23404255	0.03686945	0.29630865	0.53587963
combinedAll	SDKZ0057	PT-healthy	chr1_3548330_3548439	18	8	0.16666667	0.25000000	0.25000000	0.02231571	0.07894737	0.08500004	0.34812250	0.72321429
combinedAll	SDKZ0057	PT-altered	chr1_3548330_3548439	17	8	0.13913043	0.21428571	0.21428571	0.00751831	0.13913043	0.02091601	0.35432151	0.57268519
combinedAll	SDKZ0057	PT-healthy	chr1_3869657_3869845	15	10	0.28750000	0.10000000	0.30000000	0.21237158	0.07500000	0.21111111	0.32489861	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_3869657_3869845	19	10	0.25000000	0.31250000	0.43750000	0.05021219	0.22000000	0.20858039	0.52400596	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_3892947_3893056	19	5	0.25263158	0.46666667	0.53333333	0.01958914	0.31578947	0.13422932	0.47708103	0.22530864
combinedAll	SDKZ0057	PT-altered	chr1_3892947_3893056	15	5	0.38461538	0.53333333	0.73333333	0.03538501	0.30769231	0.30566377	0.69174326	0.18260582
combinedAll	SDKZ0057	PT-healthy	chr1_6344242_6344656	37	11	0.09859155	0.31578947	0.31578947	0.00538416	0.16197183	0.04529926	0.27006850	0.44117647
combinedAll	SDKZ0057	PT-altered	chr1_6344242_6344656	44	11	0.08805031	0.14285714	0.14285714	0.00651706	0.11320755	0.00785714	0.17103443	0.74621212
combinedAll	SDKZ0057	PT-healthy	chr1_6621806_6621934	19	7	0.35483871	0.20000000	0.46666667	0.41002153	0.12903226	0.27616667	0.36202966	0.80344671
combinedAll	SDKZ0057	PT-altered	chr1_6621806_6621934	14	7	0.39062500	0.20000000	0.60000000	0.06929198	0.17187500	0.40829082	0.36770571	0.12250000
combinedAll	SDKZ0057	PT-healthy	chr1_8027440_8027634	19	8	0.07500000	0.18181818	0.18181818	0.00299408	0.11250000	0.01223330	0.32637327	0.43750000
combinedAll	SDKZ0057	PT-altered	chr1_8027440_8027634	21	8	0.06818182	0.09090909	0.09090909	0.00883388	0.02272727	0.02556818	0.25925261	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_8248096_8248292	40	5	0.05714286	0.20833333	0.20833333	0.00647619	0.10714286	0.02864583	0.24973814	0.09036559
combinedAll	SDKZ0057	PT-altered	chr1_8248096_8248292	18	5	0.12307692	0.09090909	0.18181818	0.06212680	0.04615385	0.12363636	0.27230752	0.93209877
combinedAll	SDKZ0057	PT-healthy	chr1_9007733_9007891	19	8	0.26190476	0.60000000	0.70000000	0.29436847	0.33333333	0.16170139	0.67556460	0.24362875
combinedAll	SDKZ0057	PT-altered	chr1_9007733_9007891	23	8	0.30188679	0.56250000	0.62500000	0.05860644	0.25471698	0.18997378	0.68989916	0.14787037
combinedAll	SDKZ0057	PT-healthy	chr1_9127863_9127998	25	5	0.18823529	0.33333333	0.33333333	0.01848739	0.15294118	0.05375000	0.41720972	0.36913824
combinedAll	SDKZ0057	PT-altered	chr1_9127863_9127998	21	5	0.15277778	0.20000000	0.20000000	0.04279039	0.05555556	0.10400000	0.29088505	0.72222222
combinedAll	SDKZ0057	PT-healthy	chr1_9827699_9827968	23	16	0.84671533	0.25000000	0.95000000	0.79633507	0.11678832	0.79375965	0.33737182	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_9827699_9827968	20	16	0.95041322	0.35714286	1.00000000	0.78084451	0.04958678	0.79185029	0.33002864	0.43750000
combinedAll	SDKZ0057	PT-healthy	chr1_10630802_10631020	28	10	0.09401709	0.35714286	0.35714286	0.00418092	0.23931624	0.01625882	0.24895500	0.12755102
combinedAll	SDKZ0057	PT-altered	chr1_10630802_10631020	37	10	0.14569536	0.19047619	0.19047619	0.01842640	0.08609272	0.05285714	0.18229719	0.70551020
combinedAll	SDKZ0057	PT-healthy	chr1_10727908_10728004	11	7	0.06493506	0.10000000	0.20000000	0.00646989	0.07792208	0.10204082	0.07805488	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_10727908_10728004	15	7	0.12389381	0.15384615	0.23076923	0.11790715	0.07964602	0.10581731	0.19637461	1.00000000
combinedAll	SDKZ0057	PT-healthy	chr1_11011877_11011964	11	10	0.34905660	0.72727273	0.72727273	0.04698402	0.29245283	0.23948229	0.58765750	0.74666667
combinedAll	SDKZ0057	PT-altered	chr1_11011877_11011964	16	10	0.60869565	0.68750000	0.87500000	0.21045111	0.21014493	0.53935639	0.66897067	0.74594356
combinedAll	SDKZ0057	PT-healthy	chr1_12379451_12379590	17	7	0.51315789	0.40000000	0.60000000	0.13402683	0.07894737	0.41760771	0.51360759	0.74333333
combinedAll	SDKZ0057	PT-altered	chr1_12379451_12379590	19	7	0.82500000	0.41666667	0.91666667	0.28339432	0.10000000	0.68683449	0.50978717	0.25755071
combinedAll	SDKZ0057	PT-healthy	chr1_12527478_12527884	39	20	0.04402516	0.18181818	0.18181818	0.00684807	0.11320755	0.01570707	0.20136618	1.00000000
combinedAll	SDKZ0057	PT-altered	chr1_12527478_12527884	52	20	0.04741379	0.17647059	0.20588235	0.00514569	0.12931034	0.03672719	0.17475641	0.45833333
combinedAll	SDKZ0057	PT-healthy	chr1_14929628_14929775	21	8	0.59375000	0.36842105	0.78947368	0.42796257	0.18750000	0.52818713	0.61010100	0.41428571
